"","X","ResponseID","ResponseSet","Name","ExternalDataReference","EmailAddress","IPAddress","Status","StartDate","EndDate","Finished","mTurkCode","gender","age","ethnicity","work.when.not.encouraged","resentful","given.up","rebel","good.listener","took.advantage","admit.mistake","get.even","courteous","ideas.different.from.own","jealous.of.others","irritated.by.favors","hurt.someones.feelings","weight","height","household.size","annual.income","exercise","LocationLatitude","LocationLongitude","LocationAccuracy","income","annualincome","bmi","recepie","measurement","MealStyle","TreatMent"
"1",1,"R_1rxG3fhpIcZBHpz","Default Response Set","Anonymous",NA,NA,"98.194.76.227",0,"8/2/2015 20:20","8/2/2015 20:23",1,84701060,"Male",54,"White",2,1,1,1,1,1,1,0,1,0,1,1,0,165,70,"1",32000,"Several Times a week","29,03219604","-95,46990204",-1,32000,32000,24.2448979591837,"Guiltless.Asian.Glazed.Chicken.Thighs",-11,"Asian","Guiltless"
"2",2,"R_3q9xsiS3jD8yxgM","Default Response Set","Anonymous",NA,NA,"72.178.227.59",0,"8/2/2015 20:20","8/2/2015 20:23",1,30416134,"Female",65,"White",2,1,1,0,1,0,1,0,0,0,1,0,1,160,63,"2-3",15000,"Less often than once a month","30,05659485","-93,87539673",-1,15000,15000,29.0249433106576,"Guiltless.Asian.Glazed.Chicken.Thighs",-15,"Asian","Guiltless"
"3",3,"R_x5CQgyJoKAzvAuR","Default Response Set","Anonymous",NA,NA,"72.201.237.221",0,"8/2/2015 20:21","8/2/2015 20:23",1,81607808,"Female",57,"White",2,1,1,0,1,1,0,1,1,0,1,1,0,158,66,"2-3",18000,"Less often than once a month","33,39720154","-111,7857971",-1,18000,18000,26.1157024793388,"Guiltless.Asian.Glazed.Chicken.Thighs",-10,"Asian","Guiltless"
"4",4,"R_1ooO6B0mcqbW7h6","Default Response Set","Anonymous",NA,NA,"99.135.147.178",0,"8/2/2015 20:22","8/2/2015 20:24",1,90644467,"Male",32,"White",1,1,1,1,0,1,1,1,0,0,1,1,0,135,70,"1",32000,"Never","41,8032074","-88,13410187",-1,32000,32000,19.8367346938776,"Guiltless.Asian.Glazed.Chicken.Thighs",-11,"Asian","Guiltless"
"5",7,"R_1N3cE8SGAMJs4vA","Default Response Set","Anonymous",NA,NA,"71.13.60.106",0,"8/2/2015 20:23","8/2/2015 20:25",1,16534992,"Female",45,"White",2,0,0,0,1,0,1,0,NA,1,0,0,1,170,62,"2-3",50000,"Once or twice a week","43,61470032","-84,79270172",-1,50000,50000,31.8418314255983,"Guiltless.Asian.Glazed.Chicken.Thighs",-15,"Asian","Guiltless"
"6",11,"R_cuzopLS73zTIUqB","Default Response Set","Anonymous",NA,NA,"96.246.251.121",0,"8/2/2015 20:25","8/2/2015 20:27",1,23640590,"Female",43,"Hispanic or Latino",2,0,0,0,1,0,1,0,0,0,0,0,1,115,60,"2-3",NA,"Once or twice a month","40,76220703","-73,91210175",-1,NA,NA,23,"Guiltless.Asian.Glazed.Chicken.Thighs",-14,"Asian","Guiltless"
"7",12,"R_3J1O0WUdZTGuPIC","Default Response Set","Anonymous",NA,NA,"107.137.248.67",0,"8/2/2015 20:26","8/2/2015 20:27",1,55754576,"Female",26,"Asian/Pacific Islander",1,1,1,1,0,1,1,1,0,0,1,1,0,113,60,"1",36000,"Several Times a week","34,06159973","-118,0818024",-1,36000,36000,22.6,"Guiltless.Asian.Glazed.Chicken.Thighs",-12,"Asian","Guiltless"
"8",15,"R_8jf6jmOCo9kznfX","Default Response Set","Anonymous",NA,NA,"99.127.218.186",0,"8/2/2015 20:26","8/2/2015 20:29",1,63078062,"Male",28,"White",1,1,1,1,0,1,1,1,0,0,1,1,0,185,70,"2-3",80000,"Once or twice a week","41,87449646","-87,65029907",-1,80000,80000,27.1836734693878,"Guiltless.Asian.Glazed.Chicken.Thighs",-10,"Asian","Guiltless"
"9",16,"R_1et3Xp05LFeTO5C","Default Response Set","Anonymous",NA,NA,"66.30.28.179",0,"8/2/2015 20:26","8/2/2015 20:29",1,58063013,"Male",32,"White",1,1,1,1,0,1,0,1,0,0,1,1,0,230,73,"1",40000,"Once or twice a week","41,73049927","-71,11450195",-1,40000,40000,31.0752486395196,"Guiltless.Asian.Glazed.Chicken.Thighs",-10,"Asian","Guiltless"
"10",19,"R_1fZbWyLw4YfyRhX","Default Response Set","Anonymous",NA,NA,"100.36.64.243",0,"8/2/2015 20:27","8/2/2015 20:31",1,71692872,"Male",NA,NA,1,1,1,1,0,1,1,0,0,0,1,1,1,188,73,"2-3",107000,"Several Times a week","39,09669495","-76,87789917",-1,107000,107000,25.4006380183899,"Guiltless.Asian.Glazed.Chicken.Thighs",-10,"Asian","Guiltless"
"11",20,"R_2WwcW0EiLjquQsD","Default Response Set","Anonymous",NA,NA,"216.49.148.67",0,"8/2/2015 20:27","8/2/2015 20:31",1,68686303,"Female",41,"White",2,1,1,0,0,0,0,1,1,0,1,1,1,250,NA,"4-5",180000,"Several Times a week","42,28649902","-71,71469879",-1,180000,180000,NA,"Guiltless.Asian.Glazed.Chicken.Thighs",-12,"Asian","Guiltless"
"12",22,"R_1pnieKCJ36vjrJ0","Default Response Set","Anonymous",NA,NA,"173.18.28.106",0,"8/2/2015 20:31","8/2/2015 20:34",1,81799417,"Male",32,"White",1,1,0,1,1,1,1,1,0,0,1,1,1,198,72,"2-3",30000,"Less often than once a month","37,81799316","-89,02780151",-1,30000,30000,27.5,"Guiltless.Asian.Glazed.Chicken.Thighs",-13,"Asian","Guiltless"
"13",24,"R_1eDUEZeJYR2YFWV","Default Response Set","Anonymous",NA,NA,"216.49.148.67",0,"8/2/2015 20:32","8/2/2015 20:34",1,11859643,"Male",42,"White",1,1,0,0,1,0,1,0,1,0,1,1,1,270,75,"4-5",2e+05,"Several Times a week","42,28649902","-71,71469879",-1,200000,200000,34.56,"Guiltless.Asian.Glazed.Chicken.Thighs",-14,"Asian","Guiltless"
"14",25,"R_3lRXL1Sof6O4TTS","Default Response Set","Anonymous",NA,NA,"24.62.163.231",0,"8/2/2015 20:37","8/2/2015 20:38",1,33955264,"Female",32,"White",2,1,1,1,0,1,1,0,0,0,1,1,0,100,59,"4-5",104000,"Several Times a week","42,94030762","-71,4434967",-1,104000,104000,20.683711577133,"Guiltless.Asian.Glazed.Chicken.Thighs",-15,"Asian","Guiltless"
"15",29,"R_dauicyRCzRkmq4N","Default Response Set","Anonymous",NA,NA,"107.10.142.67",0,"8/2/2015 20:42","8/2/2015 20:44",1,82088744,"Female",54,"White",1,1,1,0,0,0,0,1,0,0,1,1,0,145,64,"2-3",20000,"Once or twice a week","39,30310059","-82,08280182",-1,20000,20000,25.48828125,"Guiltless.Asian.Glazed.Chicken.Thighs",-15,"Asian","Guiltless"
"16",30,"R_25yY4Qj13i70YCy","Default Response Set","Anonymous",NA,NA,"107.9.150.210",0,"8/2/2015 20:42","8/2/2015 20:44",1,44418002,"Female",47,"White",2,1,1,1,0,1,1,1,1,1,1,1,1,140,68,"4-5",NA,"Several Times a week","41,23139954","-80,75669861",-1,60,60,21.7993079584775,"Guiltless.Asian.Glazed.Chicken.Thighs",-10,"Asian","Guiltless"
